combination,n_hidden,n_layers,learning_rate,dropout_prob,n_epochs,batch_size,weight_positives,trial_scores,mean_accuracy,std_accuracy,n_trials
7,50,1,0.0005,0.3,45,64,True,"[0.7434648633664896, 0.7179528503187793, 0.7147682806547062]",0.7253953314466584,0.012843061910040098,3
1,50,1,0.0005,0.3,30,64,True,"[0.7414922351940072, 0.7251181320629435, 0.6717765901897205]",0.7127956524822238,0.029765196867638045,3
9,50,1,0.0005,0.3,45,100,True,"[0.7000219180908053, 0.6936882344977856, 0.7299304422941794]",0.7078801982942567,0.015804826948461328,3
3,50,1,0.0005,0.3,30,100,True,"[0.6908840081741585, 0.6980847456534491, 0.6590383115334283]",0.6826690217870119,0.016966054449557684,3
5,50,1,0.0005,0.3,30,128,True,"[0.68254224067353, 0.6534653146213005, 0.6797734700850292]",0.6719270084599532,0.013103234389189238,3
2,50,1,0.0005,0.3,30,64,False,"[0.6226542807965292, 0.6047233485685554, 0.6593122876684954]",0.6288966390111933,0.022718763831898633,3
10,50,1,0.0005,0.3,45,100,False,"[0.621858138380511, 0.6593122876684954, 0.5688614841126075]",0.6166773033872045,0.0371076609735991,3
8,50,1,0.0005,0.3,45,64,False,"[0.6234504232125475, 0.5875885587565997, 0.621858138380511]",0.6109657067832194,0.016542916513127327,3
6,50,1,0.0005,0.3,30,128,False,"[0.5875885587565997, 0.6234504232125475, 0.6047233485685554]",0.6052541101792341,0.014645354473454983,3
4,50,1,0.0005,0.3,30,100,False,"[0.5509305518846336, 0.5875885587565997, 0.6226542807965292]",0.5870577971459208,0.02928349481843882,3
